Reaction class,n positive rows,PR-AUC,Lift over prevalence,ROC-AUC,Mean p (true +),Mean p (true −)
O_demethylation,145,0.637,3.32,0.913,0.812,0.173
aldehyde_oxidation,69,0.648,7.1,0.973,0.937,0.114
desulfation,56,0.396,5.35,0.935,0.524,0.081
ester_hydrolysis,70,0.635,6.86,0.97,0.953,0.066
ring_cleavage,48,0.314,4.95,0.925,0.777,0.152
none,329,0.814,1.87,0.831,0.618,0.306
