bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0039,0.0,4131
0.1,0.2,0.1349,0.0,243
0.2,0.3,0.2281,0.3229,96
0.4,0.5,0.4343,0.2308,78
0.5,0.6,0.5476,0.8889,18
0.7,0.8,0.785,0.1449,69
0.8,0.9,0.851,0.7037,27
