bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0052,0.0,3492
0.1,0.2,0.1533,0.0211,426
0.2,0.3,0.2588,0.2756,468
0.3,0.4,0.327,0.0435,69
0.4,0.5,0.4552,0.7619,21
0.5,0.6,0.52,0.6092,87
0.7,0.8,0.7645,0.5833,12
0.8,0.9,0.8224,0.7011,87
