bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0054,0.0014,4143
0.1,0.2,0.1451,0.2,15
0.3,0.4,0.3119,0.0,6
0.4,0.5,0.4144,0.0556,18
0.5,0.6,0.5714,0.0794,126
0.6,0.7,0.6575,0.1583,120
0.7,0.8,0.7408,0.1984,126
0.8,0.9,0.8645,0.1548,84
0.9,1.0,0.9714,0.3333,24
