bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0608,0.1298,339
0.1,0.2,0.163,0.2032,561
0.2,0.3,0.2508,0.2567,261
0.3,0.4,0.3361,0.3619,1224
0.4,0.5,0.4667,0.608,324
0.5,0.6,0.5219,0.5302,630
0.6,0.7,0.6332,0.503,501
0.7,0.8,0.7594,0.6393,366
0.8,0.9,0.8489,0.8939,132
0.9,1.0,1.0,0.8889,324
