bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0,0.036,4083
0.3,0.4,0.3425,0.35,60
0.4,0.5,0.4621,0.4,180
0.5,0.6,0.5298,0.5504,129
0.6,0.7,0.6388,0.625,120
0.8,0.9,0.8,0.9333,15
0.9,1.0,1.0,0.9333,75
