bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0117,0.0029,1017
0.1,0.2,0.1794,0.1579,342
0.2,0.3,0.2,0.2157,51
0.3,0.4,0.3788,0.391,2133
0.4,0.5,0.4341,0.4124,987
0.5,0.6,0.5421,0.4715,123
0.8,0.9,0.8571,0.2222,9
