bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0057,0.0045,4251
0.1,0.2,0.1447,0.1282,39
0.2,0.3,0.277,0.025,120
0.3,0.4,0.3673,0.0167,60
0.4,0.5,0.4334,0.0476,21
0.5,0.6,0.5943,0.0167,60
0.6,0.7,0.6721,0.2083,24
0.7,0.8,0.7248,0.0256,78
0.8,0.9,0.8134,0.1111,9
