bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0,0.0342,4065
0.2,0.3,0.2216,0.35,60
0.3,0.4,0.3993,0.3833,60
0.4,0.5,0.4616,0.45,60
0.5,0.6,0.5509,0.4271,192
0.6,0.7,0.6426,0.7101,138
0.7,0.8,0.7605,0.8889,9
0.8,0.9,0.8079,1.0,12
0.9,1.0,1.0,0.9091,66
