bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0044,0.0014,4143
0.1,0.2,0.1966,0.3333,6
0.2,0.3,0.2473,0.0667,15
0.4,0.5,0.4594,0.0417,24
0.5,0.6,0.5924,0.0833,60
0.6,0.7,0.632,0.1154,156
0.7,0.8,0.7404,0.2057,141
0.8,0.9,0.8629,0.1613,93
0.9,1.0,0.974,0.3333,24
