bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0092,0.002,1008
0.1,0.2,0.1776,0.1925,213
0.2,0.3,0.2229,0.1447,228
0.3,0.4,0.3706,0.3964,1491
0.4,0.5,0.4211,0.4037,1620
0.5,0.6,0.5151,0.5072,69
0.6,0.7,0.625,0.4444,18
0.9,1.0,1.0,0.3333,15
