bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0378,0.119,378
0.1,0.2,0.1591,0.2186,549
0.2,0.3,0.2709,0.284,771
0.3,0.4,0.3478,0.4167,708
0.4,0.5,0.4609,0.4645,648
0.5,0.6,0.5485,0.6096,543
0.6,0.7,0.6331,0.6863,255
0.7,0.8,0.7893,0.5017,291
0.8,0.9,0.8453,0.8867,150
0.9,1.0,0.9967,0.8835,369
