bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0043,0.0148,3519
0.1,0.2,0.18,0.2258,372
0.2,0.3,0.2471,0.1887,318
0.3,0.4,0.3314,0.3333,132
0.5,0.6,0.5399,0.4242,231
0.6,0.7,0.6667,0.5278,72
0.7,0.8,0.75,0.6111,18
