bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.001,0.0,3960
0.1,0.2,0.1294,0.0,117
0.3,0.4,0.3622,0.0,117
0.8,0.9,0.88,0.6047,129
0.9,1.0,0.9683,0.5959,339
