compound_id,compound,n_strains,true_positive_rate,mean_p_rule,mean_p_tanimoto,ROC_AUC_rule,ROC_AUC_tanimoto,PR_AUC_rule
H01,Luteolin 7-sulfate,126,0.238,0.388,0.058,0.764,0.5,0.416
H02,rac-Hesperetin 7-O-sulfate,126,0.206,0.392,0.0,0.767,0.5,0.385
