bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0032,0.0069,1011
0.1,0.2,0.1541,0.1124,267
0.2,0.3,0.2119,0.1905,126
0.3,0.4,0.383,0.386,2316
0.4,0.5,0.4338,0.4441,849
0.5,0.6,0.5147,0.3827,81
0.9,1.0,1.0,0.5,12
