bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0027,0.001,4140
0.1,0.2,0.1588,0.2083,24
0.2,0.3,0.212,0.0,6
0.3,0.4,0.3906,0.0556,18
0.5,0.6,0.5431,0.1159,138
0.6,0.7,0.6722,0.1746,126
0.7,0.8,0.7761,0.131,84
0.8,0.9,0.8363,0.1765,102
0.9,1.0,0.9746,0.3333,24
