rule,A,B,wJaccard,cosine,sharedP_A,sharedP_B,transfers(both>0.5)
desulfation,C19,C20,0.028,0.072,0.0,0.0,False
O_demethylation,C10,C11,0.696,0.901,0.143,0.457,False
ester_hydrolysis,C05,C06,1.0,1.0,0.904,0.904,True
aldehyde_oxidation,C13,C14,0.364,0.79,0.827,0.253,False
ring_cleavage,C15,C16,0.578,0.905,0.388,0.145,False
