bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.004,0.0,4218
0.1,0.2,0.1116,0.0,156
0.3,0.4,0.3681,0.3229,96
0.8,0.9,0.8909,0.15,60
0.9,1.0,0.9408,0.4091,132
