bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0274,0.1349,252
0.1,0.2,0.1635,0.1596,639
0.2,0.3,0.2549,0.2951,549
0.3,0.4,0.3284,0.3228,570
0.4,0.5,0.4215,0.5206,534
0.5,0.6,0.5384,0.5131,1179
0.6,0.7,0.6609,0.7152,165
0.7,0.8,0.7623,0.6425,207
0.8,0.9,0.8161,0.7644,225
0.9,1.0,1.0,0.886,342
