bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0042,0.0031,3258
0.1,0.2,0.1093,0.0485,165
0.2,0.3,0.2535,0.1778,45
0.3,0.4,0.364,0.328,564
0.5,0.6,0.5338,0.2424,33
0.6,0.7,0.6414,0.6,15
0.7,0.8,0.7689,0.4208,183
0.8,0.9,0.8523,0.3441,372
0.9,1.0,0.9304,0.4444,27
