bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0026,0.0,3843
0.1,0.2,0.1451,0.0,234
0.4,0.5,0.473,0.0,117
0.9,1.0,0.9721,0.5983,468
