bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0059,0.0045,4245
0.1,0.2,0.1518,0.0538,93
0.2,0.3,0.2855,0.0167,60
0.3,0.4,0.3738,0.1667,6
0.4,0.5,0.4455,0.1667,6
0.5,0.6,0.5775,0.0159,126
0.7,0.8,0.7617,0.0614,114
0.8,0.9,0.8257,0.1667,12
