bin_lo,bin_hi,mean_pred,obs_freq,n
0.0,0.1,0.0091,0.0,3591
0.1,0.2,0.1451,0.0,339
0.2,0.3,0.2748,0.2412,228
0.3,0.4,0.3315,0.1,180
0.4,0.5,0.4448,0.3333,9
0.6,0.7,0.6943,0.3333,9
0.7,0.8,0.7889,0.3333,6
0.8,0.9,0.846,0.6748,123
0.9,1.0,0.9735,0.6441,177
